Industry,Name,AccountSource,BillingCountry,BillingState,Owner.Name,Type,AnnualRevenue,NumberOfEmployees,Segment,Sic
Media,Austin22 Inc,Trade Show,Canada,MD,Harold Campbell,Customer,2000000,4000,MM,47429
Education,Byrd23 Inc,Employee Referral,Canada,MT,Harold Campbell,Customer,2000000,4000,ENT,61900
Energy,Lindsey24 Inc,Word of mouth,Italy,,Eric Sanchez,Customer,2000000,4000,SMB,47429
Communications,Lopez215 Inc,Web,Hong Kong,,Irene McCoy,Customer,2000000,4000,SMB,61900
Insurance,Tate216 Inc,Web,Canada,NV,Kelly Frazier,Partner,2000000,4000,SMB,47429
Biotechnology,Ingram217 Inc,Partner,Canada,MA,Catherine Brown,Partner,2000000,4000,MM,61900
Media,Lopez218 Inc,Employee Referral,USA,RI,Kelly Frazier,Customer,2000000,4000,SMB,47429
Consulting,Becker219 Inc,Web,Australia,,Bruce Kennedy,Customer,2000000,4000,MM,61900
Utilities,Cummings220 Inc,Partner,USA,IL,Bruce Kennedy,Customer,2000000,4000,ESMB,47429
Media,Harmon221 Inc,Word of mouth,Canada,HI,Johnny Green,Customer,2000000,4000,MM,61900
Energy,Singleton222 Inc,Employee Referral,USA,WY,Harold Campbell,Customer,2000000,4000,MM,85600
Education,Barber223 Inc,Employee Referral,Russian,,Julie Chavez,Customer,2000000,4000,MM,2400
Banking,Silva224 Inc,Partner,Brazil,,Bruce Kennedy,Customer,2000000,4000,MM,85600
Banking,Delgado225 Inc,Public Relations,United Kingdom,,Laura Garza,Partner,2000000,4000,SMB,2400
Media,Simmons226 Inc,Partner,China,,Dennis Howard,Customer,2000000,4000,GB,85600
Media,Gomez227 Inc,Employee Referral,United Kingdom,,Kelly Frazier,Customer,2000000,4000,COMM,2400
Retail,Martinez228 Inc,Web,USA,MA,Julie Chavez,Customer,2000000,4000,SMB,85600
Banking,Vaughn229 Inc,Seminar - Internal,USA,MS,Dennis Howard,Partner,2000000,4000,SMB,2400
Apparel,Hall230 Inc,Advertisement,Canada,OH,Dennis Howard,Partner,2000000,4000,SMB,85600
Education,Parks231 Inc,Word of mouth,Hong Kong,,Johnny Green,Customer,2000000,4000,SMB,2400
Media,Webb232 Inc,Advertisement,Thailand,,Bruce Kennedy,Customer,2000000,4000,SMB,85600
Finance,Meyer233 Inc,Advertisement,Canada,OH,Eric Gutierrez,Partner,2000000,4000,MM,2400
Manufacturing,Fletcher234 Inc,Web,Italy,,Harold Campbell,Partner,2000000,4000,SMB,85600
Manufacturing,McGee235 Inc,Advertisement,Canada,LA,Kelly Frazier,Partner,2000000,4000,ENT,2400
Biotechnology,Alvarado236 Inc,Word of mouth,Canada,WY,Evelyn Williamson,Customer,2000000,4000,GB,85600
Utilities,Perez237 Inc,Employee Referral,Canada,NY,Chris Riley,Partner,2000000,4000,COMM,2400
Manufacturing,Taylor238 Inc,Employee Referral,Canada,OH,Nicolas Weaver,Customer,2000000,4000,SMB,85600
Technology,Reeves436 Inc,Advertisement,Russian,,Eric Gutierrez,Customer,2000000,4000,MM,2400
Healthcare,Nguyen437 Inc,Trade Show,Japan,,Nicolas Weaver,Partner,2000000,4000,SMB,85600
Media,Williams438 Inc,Web,United Kingdom,,Dennis Howard,Customer,2000000,4000,COMM,2400
Media,Rivera439 Inc,Employee Referral,Japan,,John Williams,Partner,2000000,4000,MM,85600
Electronics,Mann440 Inc,Employee Referral,USA,OR,Julie Chavez,Customer,2000000,4000,SMB,2400
Agriculture,Owens441 Inc,Advertisement,Thailand,,Bruce Kennedy,Customer,2000000,4000,COMM,85600
Retail,Robinson442 Inc,Partner,Canada,AZ,Laura Palmer,Partner,2000000,4000,SMB,2400
Manufacturing,James443 Inc,Public Relations,Canada,RI,Harold Campbell,Partner,2000000,4000,ESMB,85600
Energy,Oliver444 Inc,Public Relations,Canada,UT,Chris Riley,Customer,2000000,4000,SMB,2400
Utilities,Norton445 Inc,Public Relations,Japan,,Johnny Green,Customer,2000000,4000,SMB,85600
Apparel,Benson446 Inc,Seminar - Internal,Belgium,,Evelyn Williamson,Customer,2000000,4000,MM,2400
Technology,Beck447 Inc,Trade Show,Canada,GA,Catherine Brown,Customer,2000000,4000,SMB,85600
Technology,Myers448 Inc,Partner,Normway,,John Williams,Customer,2000000,4000,MM,2400
Engineering,Robbins449 Inc,Word of mouth,Taiwan,,Nicolas Weaver,Customer,2000000,4000,GB,85600
Electronics,Cox450 Inc,Partner,USA,AR,Irene McCoy,Customer,2000000,4000,MM,2400
Healthcare,Collins451 Inc,Word of mouth,USA,MT,Dennis Howard,Customer,2000000,4000,ESMB,85600
Utilities,Lambert452 Inc,Public Relations,Thailand,,Harold Campbell,Customer,2000000,4000,GB,2400
Transportation,Paul453 Inc,Partner,China,,Kelly Frazier,Customer,2000000,4000,MM,85600
Finance,Bush454 Inc,Employee Referral,Normway,,Julie Chavez,Partner,2000000,4000,SMB,85100
Agriculture,Holloway455 Inc,Word of mouth,Italy,,Eric Gutierrez,Customer,2000000,4000,ENT,85200
Electronics,Bryant456 Inc,Partner,Taiwan,,Irene Kelley,Partner,2000000,4000,MM,85310
Energy,Romero457 Inc,Employee Referral,USA,NC,John Williams,Partner,2000000,4000,SMB,85320
Electronics,Summers458 Inc,Employee Referral,Canada,CA,Kelly Frazier,Customer,2000000,4000,ENT,85410
Consulting,Copeland459 Inc,Employee Referral,Japan,,Dennis Howard,Customer,2000000,4000,SMB,85421
Banking,Bowers460 Inc,Trade Show,Belgium,,Johnny Green,Partner,2000000,4000,COMM,85422
Retail,Rodgers461 Inc,Employee Referral,USA,NE,Irene McCoy,Partner,2000000,4000,ESMB,85100
Media,Boone625 Inc,Trade Show,Singapore,,Eric Gutierrez,Customer,2000000,4000,ESMB,85200
Insurance,Rodriquez626 Inc,Public Relations,USA,CA,Eric Gutierrez,Customer,2000000,4000,COMM,85310
Electronics,Hale627 Inc,Seminar - Internal,USA,ND,Doroth Gardner,Customer,2000000,4000,ENT,85320
Telecommunications,Stokes628 Inc,Trade Show,India,,Julie Chavez,Customer,2000000,4000,ENT,85410
Electronics,Edwards629 Inc,Partner,India,,Doroth Gardner,Customer,2000000,4000,COMM,85421
Agriculture,Gordon630 Inc,Public Relations,United Kingdom,,Harold Campbell,Partner,2000000,4000,GB,85422
Biotechnology,Thomas631 Inc,Employee Referral,Korea,,Laura Garza,Customer,2000000,4000,GB,85100
Manufacturing,Hodges632 Inc,Web,Switzerland,,Johnny Green,Customer,2000000,4000,MM,85200
Insurance,Lindsey633 Inc,Partner,France,,Eric Gutierrez,Customer,2000000,4000,SMB,85310
Manufacturing,Price634 Inc,Word of mouth,China,,Harold Campbell,Customer,2000000,4000,ESMB,85320
Transportation,Mack635 Inc,Web,USA,HI,Laura Palmer,Customer,2000000,4000,ESMB,85410
Consulting,Walton636 Inc,Trade Show,Canada,NE,Harold Campbell,Partner,2000000,4000,COMM,85421
Utilities,Herrera637 Inc,Partner,China,,Harold Campbell,Customer,2000000,4000,MM,85422
Insurance,Anderson638 Inc,Employee Referral,Russian,,Julie Chavez,Customer,2000000,4000,COMM,85100
Communications,Ryan639 Inc,Seminar - Internal,Japan,,Doroth Gardner,Customer,2000000,4000,MM,85200
Electronics,Paul640 Inc,Trade Show,France,,Evelyn Williamson,Customer,2000000,4000,GB,85310
Utilities,Hoffman641 Inc,Web,Brazil,,John Williams,Customer,2000000,4000,SMB,85320
Apparel,Norris642 Inc,Word of mouth,Mexico,,Dennis Howard,Customer,2000000,4000,COMM,85410
Media,Griffith643 Inc,Public Relations,Normway,,Julie Chavez,Partner,2000000,4000,MM,85421
Communications,Ingram644 Inc,Public Relations,Sweden,,Laura Garza,Customer,2000000,4000,COMM,85422
Biotechnology,Tran645 Inc,Word of mouth,China,,Dennis Howard,Customer,2000000,4000,ENT,85100
Banking,Zimmerman646 Inc,Web,Taiwan,,Kelly Frazier,Customer,2000000,4000,ESMB,85200
Agriculture,Norton790 Inc,Employee Referral,Canada,MO,Irene Kelley,Customer,2000000,4000,COMM,85310
Banking,Bradley791 Inc,Word of mouth,France,,Laura Garza,Customer,2000000,4000,MM,85320
Banking,Valdez792 Inc,Employee Referral,Canada,LA,Catherine Brown,Customer,2000000,4000,SMB,85410
Retail,Nguyen793 Inc,Partner,Turkey,,Harold Campbell,Partner,2000000,4000,ESMB,85421
Engineering,Weber794 Inc,Web,USA,WV,Chris Riley,Partner,2000000,4000,ENT,85422
Banking,Gordon795 Inc,Trade Show,Canada,MT,Irene McCoy,Partner,2000000,4000,GB,85100
Manufacturing,Mitchell796 Inc,Word of mouth,Normway,,Harold Campbell,Customer,2000000,4000,GB,85200
Manufacturing,Kim797 Inc,Partner,India,,Irene Kelley,Customer,2000000,4000,MM,85310
Agriculture,Tran798 Inc,Partner,Sweden,,Eric Gutierrez,Customer,2000000,4000,GB,85320
Technology,Thornton799 Inc,Word of mouth,Canada,WI,Laura Palmer,Customer,2000000,4000,MM,85410
Technology,Kim800 Inc,Employee Referral,Japan,,Evelyn Williamson,Customer,2000000,4000,ESMB,26400
Banking,Gutierrez801 Inc,Employee Referral,Germany,,Irene McCoy,Customer,2000000,4000,COMM,26511
Utilities,Munoz802 Inc,Employee Referral,Switzerland,,Bruce Kennedy,Customer,2000000,4000,ESMB,26512
Telecommunications,Webster803 Inc,Employee Referral,Japan,,Eric Sanchez,Partner,2000000,4000,SMB,27110
Banking,Roberts804 Inc,Advertisement,Japan,,Johnny Green,Partner,2000000,4000,MM,27120
Healthcare,Ellis805 Inc,Trade Show,Russian,,Johnny Green,Customer,2000000,4000,SMB,27200
Energy,Patrick806 Inc,Web,Sweden,,Doroth Gardner,Customer,2000000,4000,ESMB,27310
Apparel,Price807 Inc,Web,Taiwan,,Eric Gutierrez,Partner,2000000,4000,ESMB,27320
Transportation,Rodriguez808 Inc,Trade Show,Japan,,Johnny Green,Customer,2000000,4000,ENT,27330
Energy,Morales809 Inc,Trade Show,Canada,NJ,Doroth Gardner,Partner,2000000,4000,ENT,26400
Banking,Burton810 Inc,Public Relations,USA,NC,Irene Kelley,Partner,2000000,4000,ESMB,26511
Manufacturing,Chandler811 Inc,Employee Referral,USA,IN,Harold Campbell,Partner,2000000,4000,ESMB,26512
Energy,Adkins812 Inc,Web,India,,Irene McCoy,Customer,2000000,4000,MM,27110
Communications,Arnold813 Inc,Partner,Canada,NH,Laura Palmer,Customer,2000000,4000,GB,27120
Energy,Gordon814 Inc,Employee Referral,USA,MD,Irene McCoy,Partner,2000000,4000,ESMB,27200
Finance,Sims815 Inc,Web,USA,NY,Harold Campbell,Partner,2000000,4000,ESMB,27310
Energy,Stevenson947 Inc,Trade Show,Thailand,,Johnny Green,Customer,2000000,4000,SMB,27320
Biotechnology,Chavez948 Inc,Employee Referral,USA,OR,Dennis Howard,Partner,2000000,4000,COMM,27330
Finance,Martin949 Inc,Web,USA,KS,Nicolas Weaver,Customer,2000000,4000,SMB,26400
Biotechnology,Cohen950 Inc,Web,Normway,,Dennis Howard,Customer,2000000,4000,ENT,26511
Apparel,Walsh951 Inc,Advertisement,Brazil,,Eric Gutierrez,Partner,2000000,4000,ESMB,26512
Engineering,Sims952 Inc,Public Relations,Taiwan,,Dennis Howard,Customer,2000000,4000,ESMB,27110
Apparel,Reed953 Inc,Trade Show,USA,NY,Dennis Howard,Customer,2000000,4000,COMM,27120
Insurance,Stevenson954 Inc,Employee Referral,Canada,MI,Kelly Frazier,Customer,2000000,4000,MM,27200
Energy,Briggs955 Inc,Public Relations,Switzerland,,Harold Campbell,Customer,2000000,4000,COMM,27310
Electronics,Rodgers956 Inc,Seminar - Internal,Germany,,Dennis Howard,Customer,2000000,4000,SMB,27320
Apparel,Sanchez957 Inc,Employee Referral,China,,Dennis Howard,Customer,2000000,4000,MM,27330
Apparel,Jimenez958 Inc,Word of mouth,USA,PA,Laura Palmer,Customer,2000000,4000,SMB,26400
Technology,Oliver959 Inc,Employee Referral,USA,NE,Johnny Green,Partner,2000000,4000,SMB,26511
Communications,Johnson960 Inc,Employee Referral,Italy,,Johnny Green,Partner,2000000,4000,SMB,26512
Agriculture,Stokes961 Inc,Advertisement,USA,IN,Catherine Brown,Customer,2000000,4000,GB,27110
Transportation,Adams25 Inc,Partner,Japan,,Johnny Green,Customer,2000000,4000,GB,27120
Energy,McGuire26 Inc,Word of mouth,USA,LA,Nicolas Weaver,Partner,2000000,4000,MM,27200
Media,Dennis27 Inc,Public Relations,Japan,,Harold Campbell,Partner,2000000,4000,COMM,27310
Retail,Cohen28 Inc,Advertisement,China,,Eric Gutierrez,Customer,2000000,4000,GB,27320
Biotechnology,Reid29 Inc,Seminar - Internal,USA,MN,Johnny Green,Customer,2000000,4000,SMB,27330
Biotechnology,Francis30 Inc,Advertisement,Canada,VA,Eric Gutierrez,Customer,2000000,4000,MM,26400
Consulting,Long31 Inc,Trade Show,USA,MN,Doroth Gardner,Customer,2000000,4000,COMM,26511
Retail,Peterson32 Inc,Word of mouth,Sweden,,Evelyn Williamson,Customer,2000000,4000,ESMB,26512
Telecommunications,Graves33 Inc,Seminar - Internal,Canada,ID,Irene McCoy,Customer,2000000,4000,MM,27110
Technology,Vasquez34 Inc,Advertisement,USA,KY,Harold Campbell,Customer,2000000,4000,MM,27120
Telecommunications,Silva35 Inc,Employee Referral,France,,Dennis Howard,Partner,2000000,4000,SMB,27200
Healthcare,Soto36 Inc,Partner,USA,MO,Chris Riley,Customer,2000000,4000,ESMB,35110
Education,Delgado37 Inc,Employee Referral,Denmark,,Laura Garza,Customer,2000000,4000,ENT,35120
Technology,Gutierrez38 Inc,Employee Referral,Singapore,,Chris Riley,Customer,2000000,4000,ESMB,35130
Biotechnology,Greer39 Inc,Employee Referral,Normway,,Harold Campbell,Partner,2000000,4000,COMM,35140
Consulting,Webster40 Inc,Public Relations,Thailand,,Johnny Green,Customer,2000000,4000,COMM,35210
Banking,Morales41 Inc,Employee Referral,USA,TN,Laura Garza,Partner,2000000,4000,COMM,35208
Utilities,Adkins42 Inc,Web,Japan,,Doroth Gardner,Customer,2000000,4000,MM,35230
Apparel,Carr43 Inc,Employee Referral,Australia,,Dennis Howard,Customer,2000000,4000,MM,35252
Manufacturing,Bennett44 Inc,Seminar - Internal,USA,DE,Bruce Kennedy,Partner,2000000,4000,SMB,35274
Education,Alvarez45 Inc,Advertisement,Switzerland,,Laura Palmer,Partner,2000000,4000,SMB,35296
Manufacturing,Lawrence46 Inc,Public Relations,Normway,,Dennis Howard,Customer,2000000,4000,SMB,35318
Education,Casey47 Inc,Word of mouth,Spain,,Laura Garza,Customer,800000,500,ESMB,35340
Telecommunications,Gutierrez48 Inc,Employee Referral,USA,RI,Johnny Green,Customer,800000,500,MM,35362
Apparel,West49 Inc,Trade Show,Japan,,Catherine Brown,Partner,800000,500,SMB,35384
Technology,Lawrence50 Inc,Employee Referral,Normway,,Dennis Howard,Customer,800000,500,SMB,35406
Agriculture,Walsh51 Inc,Word of mouth,Spain,,Eric Sanchez,Partner,800000,500,SMB,35428
Retail,Guzman239 Inc,Public Relations,USA,LA,Laura Palmer,Customer,800000,500,GB,35450
Retail,Hampton240 Inc,Web,USA,FL,Dennis Howard,Partner,800000,500,SMB,35472
Apparel,Johnston241 Inc,Partner,Korea,,John Williams,Customer,800000,500,MM,35494
Education,Cross242 Inc,Word of mouth,Turkey,,Dennis Howard,Customer,800000,500,MM,35516
Manufacturing,Nguyen243 Inc,Word of mouth,Turkey,,Johnny Green,Customer,800000,500,MM,35538
Agriculture,Wise244 Inc,Seminar - Internal,Belgium,,Evelyn Williamson,Customer,800000,500,MM,35560
Technology,Terry245 Inc,Employee Referral,Canada,NJ,Chris Riley,Customer,800000,500,SMB,35582
Utilities,Medina246 Inc,Web,Canada,LA,Dennis Howard,Customer,800000,500,ESMB,35604
Retail,Moore247 Inc,Trade Show,USA,DC,Laura Palmer,Customer,800000,500,ENT,35626
Utilities,Greene248 Inc,Employee Referral,Taiwan,,Doroth Gardner,Partner,800000,500,MM,35648
Energy,Butler249 Inc,Employee Referral,Singapore,,Eric Gutierrez,Customer,800000,500,GB,35670
Biotechnology,Bryant250 Inc,Employee Referral,Spain,,Dennis Howard,Customer,800000,500,SMB,35692
Finance,Rivera251 Inc,Web,USA,MN,Catherine Brown,Customer,800000,500,COMM,35714
Finance,Meyer252 Inc,Partner,Denmark,,Kelly Frazier,Customer,800000,500,GB,35736
Telecommunications,Phillips253 Inc,Employee Referral,Turkey,,Harold Campbell,Customer,800000,500,SMB,35758
Banking,Glover254 Inc,Advertisement,Normway,,Laura Palmer,Partner,800000,500,GB,35780
Retail,Ortega255 Inc,Employee Referral,Canada,NY,Eric Gutierrez,Customer,800000,500,MM,35802
Energy,Love256 Inc,Partner,Canada,OR,Evelyn Williamson,Customer,800000,500,COMM,35824
Manufacturing,Salazar257 Inc,Partner,Germany,,Harold Campbell,Customer,800000,500,COMM,35846
Biotechnology,Patrick258 Inc,Trade Show,USA,MN,Eric Gutierrez,Customer,800000,500,MM,35868
Engineering,Wells259 Inc,Trade Show,USA,RI,Laura Garza,Customer,800000,500,MM,35890
Media,Dawson260 Inc,Public Relations,USA,PA,Dennis Howard,Customer,800000,500,GB,35912
Apparel,Holloway261 Inc,Employee Referral,China,,Eric Sanchez,Customer,800000,500,ESMB,35934
Insurance,Estrada262 Inc,Partner,USA,AK,Harold Campbell,Customer,800000,500,MM,35956
Biotechnology,Beck462 Inc,Web,USA,WV,Eric Sanchez,Customer,800000,500,ESMB,35978
Telecommunications,Hill463 Inc,Partner,USA,MI,Kelly Frazier,Customer,800000,500,SMB,36000
Technology,Maldonado464 Inc,Partner,Canada,HI,Kelly Frazier,Customer,800000,500,ESMB,36022
Transportation,Figueroa465 Inc,Employee Referral,Singapore,,Eric Sanchez,Customer,800000,500,ESMB,36044
Biotechnology,Porter466 Inc,Employee Referral,Canada,MT,Chris Riley,Partner,800000,500,SMB,36066
Biotechnology,McDaniel467 Inc,Advertisement,Japan,,Doroth Gardner,Customer,800000,500,SMB,36088
Biotechnology,Edwards468 Inc,Advertisement,Canada,KS,Catherine Brown,Partner,800000,500,ESMB,36110
Transportation,Cobb469 Inc,Partner,USA,MS,Eric Sanchez,Customer,800000,500,MM,36132
Electronics,Moore470 Inc,Web,Switzerland,,Doroth Gardner,Customer,800000,500,GB,36154
Biotechnology,Holloway471 Inc,Public Relations,Normway,,Evelyn Williamson,Partner,800000,500,MM,36176
Consulting,Padilla472 Inc,Word of mouth,Canada,DE,Laura Garza,Customer,800000,500,GB,36198
Retail,Cross473 Inc,Seminar - Internal,India,,Eric Gutierrez,Customer,800000,500,MM,36220
Technology,Bridges474 Inc,Public Relations,France,,Irene Kelley,Partner,800000,500,ESMB,36242
Media,Chapman475 Inc,Advertisement,Singapore,,Chris Riley,Partner,800000,500,MM,36264
Finance,Hunt476 Inc,Word of mouth,Canada,ND,Chris Riley,Customer,800000,500,MM,36286
Engineering,Stanley477 Inc,Seminar - Internal,Japan,,Julie Chavez,Partner,800000,500,COMM,36308
Technology,Schmidt478 Inc,Employee Referral,Korea,,John Williams,Customer,800000,500,ESMB,36330
Manufacturing,Bowman479 Inc,Employee Referral,Denmark,,Laura Garza,Customer,1500000,1000,SMB,36352
Engineering,Moss480 Inc,Advertisement,USA,NC,Chris Riley,Partner,1500000,1000,COMM,36374
Technology,Allen481 Inc,Word of mouth,USA,IA,Julie Chavez,Customer,1500000,1000,GB,36396
Finance,Guzman482 Inc,Trade Show,Canada,NV,Dennis Howard,Partner,1500000,1000,GB,36418
Healthcare,Long647 Inc,Web,Hong Kong,,Irene Kelley,Customer,1500000,1000,MM,36440
Agriculture,Soto648 Inc,Web,Canada,WI,Bruce Kennedy,Customer,1500000,1000,SMB,36462
Apparel,Martinez649 Inc,Advertisement,Germany,,Evelyn Williamson,Partner,1500000,1000,SMB,36484
Energy,Cummings650 Inc,Web,Japan,,Catherine Brown,Customer,1500000,1000,MM,36506
Technology,Hines651 Inc,Partner,Korea,,Doroth Gardner,Customer,1500000,1000,COMM,36528
Banking,Colon652 Inc,Web,USA,NH,John Williams,Customer,1500000,1000,ESMB,36550
Retail,Warren653 Inc,Advertisement,France,,Julie Chavez,Partner,1500000,1000,MM,36572
Insurance,Fleming654 Inc,Employee Referral,USA,AZ,Bruce Kennedy,Partner,1500000,1000,SMB,36594
Insurance,Dixon655 Inc,Trade Show,Spain,,Laura Garza,Customer,1500000,1000,GB,36616
Agriculture,Russell656 Inc,Web,Belgium,,Kelly Frazier,Customer,1500000,1000,ENT,36638
Communications,Benson657 Inc,Trade Show,USA,LA,Kelly Frazier,Customer,1500000,1000,SMB,36660
Agriculture,McDonald658 Inc,Advertisement,China,,Eric Gutierrez,Customer,1500000,1000,ESMB,36682
Apparel,Long659 Inc,Employee Referral,USA,WA,Nicolas Weaver,Partner,1500000,1000,SMB,36704
Electronics,Hicks660 Inc,Trade Show,USA,FL,Eric Sanchez,Customer,1500000,1000,MM,36726
Agriculture,Bass661 Inc,Trade Show,USA,IA,Eric Gutierrez,Partner,1500000,1000,SMB,36748
Manufacturing,Nichols662 Inc,Employee Referral,Singapore,,Irene McCoy,Partner,1500000,1000,SMB,36770
Energy,Simmons663 Inc,Word of mouth,Thailand,,Catherine Brown,Partner,1500000,1000,COMM,43290
Retail,Palmer664 Inc,Partner,Belgium,,Dennis Howard,Customer,1500000,1000,MM,46610
Manufacturing,Woods665 Inc,Word of mouth,Australia,,Dennis Howard,Partner,1500000,1000,GB,46620
Media,Higgins666 Inc,Employee Referral,Normway,,Kelly Frazier,Customer,1500000,1000,COMM,46630
Apparel,Newman667 Inc,Employee Referral,Japan,,Eric Sanchez,Customer,1500000,1000,COMM,46640
Finance,Rogers668 Inc,Word of mouth,Brazil,,Bruce Kennedy,Partner,1500000,1000,GB,46690
Insurance,Moore669 Inc,Advertisement,Belgium,,Harold Campbell,Customer,1500000,1000,SMB,47410
Media,Maxwell670 Inc,Word of mouth,USA,OR,Bruce Kennedy,Customer,1500000,1000,GB,43290
Communications,Cooper671 Inc,Web,USA,NM,Evelyn Williamson,Customer,1500000,1000,COMM,46610
Biotechnology,Green672 Inc,Word of mouth,Korea,,Laura Garza,Partner,1500000,1000,COMM,46620
Insurance,Fleming816 Inc,Partner,Germany,,Eric Sanchez,Customer,1500000,1000,MM,46630
Media,Colon817 Inc,Trade Show,Canada,NH,Evelyn Williamson,Customer,1500000,1000,MM,46640
Telecommunications,King818 Inc,Employee Referral,China,,Eric Sanchez,Customer,1500000,1000,MM,46690
Consulting,Larson819 Inc,Employee Referral,China,,Laura Palmer,Partner,1500000,1000,MM,47410
Apparel,Green820 Inc,Employee Referral,France,,John Williams,Partner,1500000,1000,MM,43290
Media,Strickland821 Inc,Trade Show,USA,OK,Evelyn Williamson,Customer,1500000,1000,MM,46610
Energy,Flowers822 Inc,Trade Show,USA,KS,Eric Sanchez,Partner,1500000,1000,SMB,46620
Education,Flores823 Inc,Public Relations,Korea,,Chris Riley,Customer,1500000,1000,ENT,46630
Media,Richardson824 Inc,Web,Thailand,,Eric Gutierrez,Partner,1500000,1000,GB,46640
Banking,Shelton825 Inc,Seminar - Internal,China,,Irene Kelley,Customer,1500000,1000,COMM,46690
Manufacturing,Romero826 Inc,Web,India,,Doroth Gardner,Customer,1500000,1000,GB,47410
Apparel,Fuller827 Inc,Word of mouth,Canada,UT,Catherine Brown,Customer,1500000,1000,SMB,43290
Electronics,Hart828 Inc,Partner,Germany,,Kelly Frazier,Customer,1500000,1000,GB,46610
Media,Nelson829 Inc,Web,Japan,,Kelly Frazier,Customer,1500000,1000,COMM,46620
Apparel,Rios830 Inc,Employee Referral,USA,NJ,Laura Garza,Customer,1500000,1000,MM,46630
Finance,Greer831 Inc,Advertisement,Denmark,,Eric Gutierrez,Customer,1500000,1000,SMB,46640
Banking,Floyd832 Inc,Employee Referral,Turkey,,Irene Kelley,Customer,1500000,1000,MM,46690
Education,Porter833 Inc,Advertisement,China,,Julie Chavez,Customer,1500000,1000,GB,47410
Transportation,Lane834 Inc,Trade Show,USA,NE,Eric Sanchez,Customer,1500000,1000,MM,43290
Insurance,Ford835 Inc,Word of mouth,Singapore,,Laura Palmer,Partner,1500000,1000,ESMB,46610
Insurance,Marsh836 Inc,Advertisement,USA,CT,Laura Garza,Customer,1500000,1000,SMB,46620
Energy,Day837 Inc,Seminar - Internal,Korea,,Kelly Frazier,Customer,1500000,1000,GB,46630
Electronics,Cobb838 Inc,Word of mouth,USA,CO,Julie Chavez,Customer,1500000,1000,SMB,46640
Engineering,Ramos839 Inc,Web,Canada,VT,Eric Gutierrez,Customer,1500000,1000,COMM,46690
Technology,Christensen840 Inc,Word of mouth,Brazil,,Irene Kelley,Customer,1500000,1000,ENT,47410
Electronics,Schneider841 Inc,Word of mouth,India,,Kelly Frazier,Customer,1500000,1000,MM,43290
Engineering,Holland842 Inc,Seminar - Internal,USA,MI,Laura Palmer,Customer,1500000,1000,ENT,46610
Transportation,Grant962 Inc,Employee Referral,Spain,,Kelly Frazier,Customer,1500000,1000,GB,46620
Insurance,Boone963 Inc,Web,United Kingdom,,Eric Sanchez,Customer,1500000,1000,SMB,46630
Electronics,Pena964 Inc,Employee Referral,Canada,FL,Laura Garza,Customer,1500000,1000,SMB,46640
Insurance,Conner965 Inc,Public Relations,Germany,,Eric Gutierrez,Customer,1500000,1000,ESMB,46690
Electronics,Barnett966 Inc,Employee Referral,Italy,,Irene Kelley,Customer,1500000,1000,GB,47410
Manufacturing,May967 Inc,Partner,Belgium,,John Williams,Customer,1500000,1000,ESMB,43290
Agriculture,Gross968 Inc,Web,USA,DE,Irene McCoy,Customer,1500000,1000,MM,46610
Manufacturing,Rivera969 Inc,Partner,Canada,NC,Irene McCoy,Customer,1500000,1000,SMB,46620
Engineering,Nash970 Inc,Word of mouth,Australia,,Bruce Kennedy,Customer,1500000,1000,SMB,46630
Transportation,Kim971 Inc,Partner,USA,CA,Chris Riley,Customer,1500000,1000,SMB,46640
