Industry,Name,AccountSource,BillingCountry,BillingState,Owner.Name,Type,AnnualRevenue,NumberOfEmployees,Segment,Sic
Media,Wagner972 Inc,Web,China,,Laura Palmer,Customer,1500000,1000,ENT,46690
Energy,Owens973 Inc,Word of mouth,Russian,,Johnny Green,Customer,1500000,1000,MM,47410
Agriculture,Cummings974 Inc,Seminar - Internal,Mexico,,Laura Palmer,Customer,1500000,1000,MM,43290
Transportation,Myers975 Inc,Trade Show,Italy,,Julie Chavez,Customer,1500000,1000,ENT,46610
Healthcare,Obrien976 Inc,Word of mouth,USA,MN,Chris Riley,Customer,1500000,1000,SMB,46620
Insurance,Marshall977 Inc,Seminar - Internal,Japan,,Catherine Brown,Customer,1500000,1000,SMB,46630
Engineering,Mack978 Inc,Partner,Canada,NV,Eric Sanchez,Customer,1500000,1000,COMM,46640
Banking,Roberts979 Inc,Trade Show,USA,GA,Eric Sanchez,Partner,1500000,1000,COMM,46690
Insurance,Parsons980 Inc,Word of mouth,USA,DE,Chris Riley,Customer,1500000,1000,MM,47410
Telecommunications,Flowers981 Inc,Word of mouth,USA,VA,Harold Campbell,Customer,1500000,1000,GB,43290
Banking,Mack982 Inc,Seminar - Internal,India,,Kelly Frazier,Customer,1500000,1000,ENT,46610
Retail,Hawkins983 Inc,Public Relations,USA,VA,Laura Garza,Customer,700000000,10000,GB,46620
Utilities,McGuire984 Inc,Word of mouth,Canada,SD,Laura Palmer,Customer,700000000,10000,GB,46630
Engineering,Jimenez985 Inc,Web,Australia,,Irene Kelley,Customer,700000000,10000,ESMB,46640
Engineering,Cooper986 Inc,Partner,USA,CO,Harold Campbell,Partner,700000000,10000,GB,46690
Transportation,Summers987 Inc,Public Relations,Spain,,Irene Kelley,Customer,700000000,10000,SMB,64209
Media,Gibbs52 Inc,Seminar - Internal,USA,OK,Dennis Howard,Customer,700000000,10000,ENT,64301
Technology,Brown53 Inc,Employee Referral,Mexico,,Johnny Green,Partner,700000000,10000,MM,64302
Telecommunications,Walsh54 Inc,Public Relations,Italy,,Catherine Brown,Customer,700000000,10000,SMB,64303
Transportation,Leonard55 Inc,Employee Referral,Taiwan,,Dennis Howard,Customer,700000000,10000,MM,64304
Telecommunications,Martin56 Inc,Partner,USA,NM,Evelyn Williamson,Partner,700000000,10000,SMB,64305
Engineering,Manning57 Inc,Web,USA,ID,Doroth Gardner,Customer,700000000,10000,ENT,64306
Manufacturing,Daniel58 Inc,Partner,Belgium,,Laura Palmer,Customer,700000000,10000,COMM,64910
Biotechnology,Doyle59 Inc,Word of mouth,Japan,,Kelly Frazier,Customer,700000000,10000,MM,64992
Technology,Stokes60 Inc,Employee Referral,Spain,,Irene McCoy,Customer,700000000,10000,ENT,64999
Manufacturing,Hines61 Inc,Advertisement,Spain,,Julie Chavez,Customer,700000000,10000,COMM,64209
Healthcare,Gibson62 Inc,Partner,Normway,,Dennis Howard,Customer,700000000,10000,MM,64301
Insurance,Rhodes63 Inc,Advertisement,Normway,,Irene Kelley,Partner,700000000,10000,SMB,64302
Consulting,Lopez64 Inc,Employee Referral,USA,NE,Evelyn Williamson,Customer,700000000,10000,COMM,64303
Electronics,Reed65 Inc,Web,Brazil,,Evelyn Williamson,Customer,700000000,10000,ESMB,64304
Apparel,Wells66 Inc,Employee Referral,India,,Laura Garza,Customer,700000000,10000,GB,64305
Manufacturing,Carpenter67 Inc,Public Relations,Canada,SC,Nicolas Weaver,Customer,700000000,10000,GB,64306
Engineering,Figueroa68 Inc,Web,India,,Laura Garza,Customer,700000000,10000,SMB,64910
Electronics,Sharp69 Inc,Word of mouth,USA,MO,Harold Campbell,Customer,700000000,10000,COMM,64992
Education,Harper70 Inc,Partner,Denmark,,Laura Garza,Partner,700000000,10000,ESMB,64999
Insurance,Reese71 Inc,Seminar - Internal,Mexico,,Irene McCoy,Partner,700000000,10000,SMB,64209
Insurance,Leonard263 Inc,Partner,USA,MA,Bruce Kennedy,Customer,700000000,10000,MM,64301
Telecommunications,Hansen264 Inc,Web,Canada,WI,Irene McCoy,Customer,700000000,10000,ESMB,64302
Telecommunications,Fields265 Inc,Employee Referral,Mexico,,Chris Riley,Partner,700000000,10000,ESMB,64303
Communications,Beck266 Inc,Public Relations,Canada,AZ,Irene Kelley,Partner,700000000,10000,GB,64304
Media,Daniels267 Inc,Web,Hong Kong,,Bruce Kennedy,Partner,700000000,10000,SMB,64305
Education,Clarke268 Inc,Advertisement,Canada,TX,Bruce Kennedy,Customer,700000000,10000,COMM,64306
Biotechnology,Anderson269 Inc,Partner,Switzerland,,Catherine Brown,Customer,700000000,10000,MM,64910
Engineering,Elliott270 Inc,Partner,Switzerland,,Harold Campbell,Partner,700000000,10000,SMB,64992
Agriculture,Bass271 Inc,Public Relations,Korea,,Eric Sanchez,Customer,700000000,10000,MM,64999
Insurance,Cruz272 Inc,Word of mouth,USA,MN,Nicolas Weaver,Customer,700000000,10000,MM,64209
Manufacturing,Harper273 Inc,Employee Referral,Japan,,Irene McCoy,Partner,700000000,10000,MM,64301
Finance,Adkins274 Inc,Web,USA,ME,Kelly Frazier,Customer,700000000,10000,SMB,64302
Engineering,Lopez275 Inc,Seminar - Internal,Switzerland,,John Williams,Customer,700000000,10000,COMM,64303
Insurance,Hawkins276 Inc,Seminar - Internal,Switzerland,,Dennis Howard,Customer,700000000,10000,MM,64304
Manufacturing,Dawson277 Inc,Word of mouth,Japan,,Dennis Howard,Customer,700000000,10000,ENT,64305
Agriculture,Douglas278 Inc,Word of mouth,Mexico,,Johnny Green,Partner,700000000,10000,MM,64306
Retail,Harrison279 Inc,Web,Australia,,Chris Riley,Partner,700000000,10000,ENT,86101
Agriculture,George280 Inc,Advertisement,USA,NY,Johnny Green,Customer,700000000,10000,MM,86102
Apparel,Evans281 Inc,Employee Referral,Singapore,,Dennis Howard,Customer,700000000,10000,MM,86210
Manufacturing,Munoz282 Inc,Web,Thailand,,Irene Kelley,Customer,700000000,10000,ESMB,86220
Engineering,Lucas283 Inc,Employee Referral,USA,WI,Evelyn Williamson,Partner,700000000,10000,GB,86230
Agriculture,Tucker284 Inc,Public Relations,Belgium,,Julie Chavez,Customer,700000000,10000,ESMB,86900
Electronics,Miles285 Inc,Partner,USA,CT,Kelly Frazier,Partner,700000000,10000,COMM,86101
Media,Ellis286 Inc,Advertisement,Singapore,,Irene McCoy,Partner,700000000,10000,ESMB,86102
Education,Vasquez483 Inc,Public Relations,Canada,MI,Laura Garza,Customer,700000000,10000,SMB,86210
Manufacturing,Norman484 Inc,Advertisement,Hong Kong,,Julie Chavez,Partner,700000000,10000,MM,86220
Manufacturing,Newman485 Inc,Advertisement,Canada,UT,Irene Kelley,Partner,700000000,10000,SMB,86230
Technology,Young486 Inc,Advertisement,USA,OH,Evelyn Williamson,Customer,700000000,10000,MM,86900
Apparel,Underwood487 Inc,Web,USA,IA,Irene Kelley,Customer,700000000,10000,COMM,86101
Transportation,Becker488 Inc,Word of mouth,Singapore,,Laura Garza,Customer,700000000,10000,MM,86102
Banking,Moss489 Inc,Word of mouth,Denmark,,Bruce Kennedy,Customer,700000000,10000,ESMB,86210
Communications,Reese490 Inc,Employee Referral,Germany,,Irene McCoy,Customer,700000000,10000,MM,86220
Transportation,Lawrence491 Inc,Word of mouth,Canada,OK,Nicolas Weaver,Customer,700000000,10000,GB,86230
Media,Schwartz492 Inc,Partner,Thailand,,Evelyn Williamson,Customer,700000000,10000,SMB,86900
Electronics,Saunders493 Inc,Web,United Kingdom,,Harold Campbell,Customer,700000000,10000,MM,86101
Media,Higgins494 Inc,Trade Show,Normway,,Laura Garza,Customer,700000000,10000,MM,86102
Retail,Brown495 Inc,Web,USA,MD,Laura Garza,Customer,700000000,10000,SMB,86210
Communications,Lowe496 Inc,Partner,Australia,,John Williams,Partner,700000000,10000,MM,86220
Engineering,Medina497 Inc,Trade Show,Spain,,Irene McCoy,Customer,700000000,10000,GB,86230
Transportation,Doyle498 Inc,Seminar - Internal,Korea,,Irene Kelley,Partner,700000000,10000,GB,86900
Banking,Gardner499 Inc,Advertisement,USA,VA,Bruce Kennedy,Partner,700000000,10000,GB,86101
Manufacturing,Howard500 Inc,Public Relations,Korea,,Kelly Frazier,Partner,700000000,10000,SMB,86102
Telecommunications,Gill501 Inc,Employee Referral,Canada,PA,John Williams,Customer,700000000,10000,ENT,86210
Technology,Thornton502 Inc,Trade Show,Turkey,,Julie Chavez,Customer,700000000,10000,COMM,86220
Banking,Fitzgerald503 Inc,Partner,Canada,FL,Bruce Kennedy,Customer,700000000,10000,GB,86230
Energy,Stone504 Inc,Employee Referral,Canada,MA,Harold Campbell,Partner,700000000,10000,SMB,86101
Energy,Leonard505 Inc,Public Relations,Thailand,,Doroth Gardner,Customer,700000000,10000,COMM,86102
Finance,Hudson506 Inc,Web,Canada,OH,Laura Garza,Customer,700000000,10000,ESMB,65110
Education,Wright507 Inc,Word of mouth,United Kingdom,,Eric Gutierrez,Customer,700000000,10000,GB,65120
Consulting,Rose673 Inc,Word of mouth,Thailand,,Dennis Howard,Partner,700000000,10000,SMB,65201
Apparel,Evans674 Inc,Web,Thailand,,Bruce Kennedy,Customer,700000000,10000,COMM,65202
Apparel,Powers675 Inc,Word of mouth,Japan,,Johnny Green,Customer,700000000,10000,SMB,66210
Biotechnology,Gray676 Inc,Public Relations,Japan,,John Williams,Customer,700000000,10000,SMB,66220
Retail,Aguilar677 Inc,Trade Show,Belgium,,Chris Riley,Customer,700000000,10000,MM,66290
Technology,Curtis678 Inc,Employee Referral,USA,MO,Evelyn Williamson,Customer,700000000,10000,COMM,65110
Banking,Johnson679 Inc,Web,USA,SD,Irene Kelley,Customer,700000000,10000,MM,65120
Media,Hunt680 Inc,Word of mouth,USA,WY,Laura Palmer,Customer,700000000,10000,SMB,65201
Energy,Lewis681 Inc,Employee Referral,Canada,CA,Laura Garza,Customer,700000000,10000,GB,65202
Telecommunications,Ortega682 Inc,Advertisement,Turkey,,Doroth Gardner,Partner,700000000,10000,SMB,66210
Consulting,Hanson683 Inc,Partner,Canada,AR,Catherine Brown,Customer,700000000,10000,MM,66220
Electronics,Ryan684 Inc,Partner,China,,Bruce Kennedy,Partner,700000000,10000,SMB,66290
Biotechnology,Watts685 Inc,Word of mouth,USA,LA,Laura Palmer,Customer,700000000,10000,GB,65110
Energy,Strickland686 Inc,Employee Referral,Normway,,Evelyn Williamson,Customer,700000000,10000,ESMB,65120
Technology,Reese687 Inc,Public Relations,USA,TX,Evelyn Williamson,Customer,700000000,10000,MM,65201
Technology,Goodman688 Inc,Employee Referral,Singapore,,Doroth Gardner,Customer,700000000,10000,MM,65202
Manufacturing,Benson689 Inc,Employee Referral,Italy,,John Williams,Customer,700000000,10000,MM,66210
Biotechnology,Todd690 Inc,Trade Show,USA,OH,Irene Kelley,Customer,700000000,10000,COMM,66220
Healthcare,Olson691 Inc,Employee Referral,Canada,MN,Doroth Gardner,Customer,700000000,10000,SMB,66290
Insurance,Haynes692 Inc,Web,United Kingdom,,Bruce Kennedy,Partner,700000000,10000,SMB,65110
Energy,Schneider843 Inc,Partner,USA,ID,Eric Gutierrez,Partner,700000000,10000,ESMB,65120
Apparel,Reeves844 Inc,Web,Singapore,,Laura Garza,Customer,700000000,10000,GB,65201
Banking,Lloyd845 Inc,Web,Hong Kong,,Laura Garza,Customer,700000000,10000,COMM,65202
Insurance,Beck846 Inc,Partner,Germany,,Evelyn Williamson,Customer,700000000,10000,COMM,66210
Agriculture,Martin847 Inc,Web,Switzerland,,Irene McCoy,Partner,700000000,10000,COMM,66220
Apparel,Simmons848 Inc,Trade Show,Denmark,,Catherine Brown,Partner,700000000,10000,COMM,66290
Energy,Patterson849 Inc,Partner,Brazil,,Eric Gutierrez,Partner,700000000,10000,MM,65110
Telecommunications,Bryan850 Inc,Trade Show,Italy,,Chris Riley,Customer,700000000,10000,SMB,65120
Engineering,Walters851 Inc,Word of mouth,Canada,VT,Laura Palmer,Partner,700000000,10000,ESMB,65201
Media,Riley852 Inc,Partner,Russian,,John Williams,Partner,700000000,10000,MM,65202
Insurance,Jefferson853 Inc,Partner,Spain,,Doroth Gardner,Customer,700000000,10000,SMB,66210
Apparel,Richardson854 Inc,Public Relations,Japan,,Dennis Howard,Partner,700000000,10000,MM,66220
Retail,Hodges855 Inc,Word of mouth,Taiwan,,Chris Riley,Customer,700000000,10000,GB,66290
Consulting,Goodwin856 Inc,Public Relations,Canada,NH,Nicolas Weaver,Partner,700000000,10000,ESMB,65110
Utilities,Johnston857 Inc,Seminar - Internal,Denmark,,Chris Riley,Customer,700000000,10000,ESMB,65120
Energy,Cross858 Inc,Trade Show,Canada,LA,Julie Chavez,Customer,700000000,10000,MM,65201
Apparel,Jefferson859 Inc,Partner,Switzerland,,Eric Sanchez,Partner,700000000,10000,SMB,65202
Biotechnology,Stone860 Inc,Word of mouth,Canada,SD,Nicolas Weaver,Customer,700000000,10000,COMM,66210
Communications,Murphy861 Inc,Advertisement,Normway,,Julie Chavez,Partner,700000000,10000,GB,66220
Communications,Rodgers862 Inc,Web,Canada,ND,Catherine Brown,Customer,700000000,10000,COMM,66290
Transportation,Payne863 Inc,Web,United Kingdom,,Johnny Green,Partner,700000000,10000,SMB,65110
Retail,Estrada864 Inc,Seminar - Internal,USA,ND,Dennis Howard,Partner,700000000,10000,GB,65120
Biotechnology,McDonald865 Inc,Employee Referral,Japan,,Kelly Frazier,Customer,700000000,10000,ESMB,65201
Energy,Tran866 Inc,Seminar - Internal,India,,Irene Kelley,Customer,700000000,10000,GB,65202
Utilities,Riley867 Inc,Employee Referral,Switzerland,,Eric Sanchez,Partner,700000000,10000,MM,66210
Utilities,Herrera868 Inc,Web,Australia,,Bruce Kennedy,Customer,700000000,10000,ESMB,66220
Energy,Joseph988 Inc,Web,USA,DE,Laura Garza,Customer,700000000,10000,COMM,66290
Transportation,Hogan989 Inc,Trade Show,Canada,UT,Chris Riley,Customer,700000000,10000,ESMB,65110
Healthcare,West990 Inc,Employee Referral,Sweden,,Doroth Gardner,Customer,700000000,10000,GB,65120
Energy,Adams991 Inc,Employee Referral,France,,Dennis Howard,Customer,700000000,10000,SMB,65201
Media,Allison992 Inc,Word of mouth,Japan,,Kelly Frazier,Partner,700000000,10000,GB,65202
Banking,Singleton993 Inc,Trade Show,Sweden,,Laura Palmer,Customer,700000000,10000,COMM,66210
Agriculture,Obrien994 Inc,Web,USA,MN,Chris Riley,Customer,700000000,10000,SMB,66220
Education,McKinney995 Inc,Public Relations,USA,MA,Johnny Green,Customer,700000000,10000,ESMB,66290
Apparel,Hall996 Inc,Partner,France,,Nicolas Weaver,Customer,700000000,10000,MM,65110
Technology,Paul997 Inc,Employee Referral,Canada,NV,Catherine Brown,Partner,700000000,10000,ESMB,65120
Banking,Curry998 Inc,Employee Referral,Thailand,,Julie Chavez,Partner,700000000,10000,SMB,65201
Energy,Riley999 Inc,Partner,Japan,,Dennis Howard,Customer,700000000,10000,SMB,65202
Technology,Alvarez72 Inc,Public Relations,India,,Bruce Kennedy,Customer,700000000,10000,ESMB,66210
Engineering,Price73 Inc,Advertisement,Canada,IN,Doroth Gardner,Customer,700000000,10000,COMM,66220
Engineering,Wood74 Inc,Word of mouth,Canada,VA,Eric Gutierrez,Customer,700000000,10000,SMB,66290
Apparel,Brock75 Inc,Trade Show,Thailand,,Doroth Gardner,Customer,700000000,10000,GB,30200
Manufacturing,Watts76 Inc,Web,Japan,,Julie Chavez,Customer,700000000,10000,ENT,30300
Banking,Norris77 Inc,Advertisement,Sweden,,Irene Kelley,Customer,700000000,10000,SMB,30400
Retail,Evans78 Inc,Advertisement,Italy,,Eric Sanchez,Partner,700000000,10000,SMB,30910
Banking,Rodgers79 Inc,Public Relations,USA,GA,Nicolas Weaver,Partner,700000000,10000,MM,33120
Technology,Stokes80 Inc,Web,Switzerland,,Dennis Howard,Customer,700000000,10000,SMB,30200
Engineering,Lane81 Inc,Word of mouth,Canada,KS,Harold Campbell,Customer,700000000,10000,MM,30300
Biotechnology,Flowers82 Inc,Public Relations,Normway,,Bruce Kennedy,Partner,700000000,10000,ESMB,30400
Apparel,Gray83 Inc,Trade Show,Thailand,,Laura Palmer,Customer,700000000,10000,MM,30910
Apparel,Santos84 Inc,Employee Referral,Canada,MA,Kelly Frazier,Partner,700000000,10000,ESMB,33120
Banking,Henry85 Inc,Advertisement,United Kingdom,,Johnny Green,Customer,700000000,10000,ESMB,30200
Finance,Patton86 Inc,Partner,USA,FL,Eric Sanchez,Customer,700000000,10000,SMB,30300
Retail,Webster87 Inc,Partner,Australia,,Evelyn Williamson,Customer,700000000,10000,SMB,30400
Apparel,Hunter88 Inc,Partner,Hong Kong,,Dennis Howard,Customer,700000000,10000,MM,30910
Banking,Bowers89 Inc,Word of mouth,Canada,UT,Kelly Frazier,Customer,700000000,10000,SMB,33120
Transportation,Steele90 Inc,Word of mouth,Normway,,John Williams,Customer,700000000,10000,ESMB,30200
Biotechnology,Leonard91 Inc,Public Relations,USA,TX,Doroth Gardner,Customer,700000000,10000,GB,30300
Consulting,Robbins92 Inc,Employee Referral,Canada,NH,Julie Chavez,Partner,700000000,10000,ESMB,30400
Manufacturing,Lawrence93 Inc,Seminar - Internal,USA,MO,Johnny Green,Customer,700000000,10000,ESMB,30910
Engineering,Sherman94 Inc,Partner,Canada,NC,Dennis Howard,Partner,700000000,10000,COMM,33120
Banking,Dean95 Inc,Employee Referral,USA,HI,Laura Palmer,Customer,700000000,10000,SMB,30200
Retail,Webb96 Inc,Employee Referral,Australia,,Harold Campbell,Partner,700000000,10000,MM,30300
Insurance,Woods287 Inc,Word of mouth,Australia,,Bruce Kennedy,Customer,700000000,10000,MM,30400
Engineering,Coleman288 Inc,Advertisement,India,,Laura Garza,Customer,700000000,10000,ENT,30910
Manufacturing,Schmidt289 Inc,Trade Show,Japan,,Julie Chavez,Customer,700000000,10000,MM,33120
Engineering,Garrett290 Inc,Employee Referral,Japan,,Julie Chavez,Customer,700000000,10000,SMB,30200
Apparel,Pena291 Inc,Web,Australia,,John Williams,Customer,700000000,10000,MM,30300
Apparel,Gill292 Inc,Employee Referral,Mexico,,Irene Kelley,Customer,700000000,10000,SMB,30400
Transportation,Marsh293 Inc,Word of mouth,United Kingdom,,Evelyn Williamson,Customer,700000000,10000,ESMB,30910
Engineering,Gordon294 Inc,Seminar - Internal,Canada,TX,Evelyn Williamson,Customer,700000000,10000,SMB,33120
Education,Holt295 Inc,Web,Spain,,Kelly Frazier,Customer,700000000,10000,ESMB,30200
Energy,Gill296 Inc,Partner,Mexico,,Evelyn Williamson,Partner,700000000,10000,GB,30300
Healthcare,Mills297 Inc,Word of mouth,Japan,,Evelyn Williamson,Partner,700000000,10000,COMM,30400
Consulting,Reynolds298 Inc,Seminar - Internal,USA,DE,Catherine Brown,Customer,700000000,10000,MM,30910
Technology,Evans299 Inc,Word of mouth,Turkey,,Harold Campbell,Partner,700000000,10000,MM,33120
Healthcare,Moran300 Inc,Trade Show,Italy,,Irene McCoy,Customer,700000000,10000,GB,30200
Healthcare,Long301 Inc,Trade Show,Canada,NM,Dennis Howard,Customer,700000000,10000,SMB,30300
Education,McDaniel302 Inc,Trade Show,USA,NH,John Williams,Customer,700000000,10000,ENT,30400
Insurance,Christensen303 Inc,Employee Referral,Japan,,Nicolas Weaver,Customer,700000000,10000,SMB,30910
Apparel,Phelps304 Inc,Employee Referral,Singapore,,Laura Garza,Customer,700000000,10000,ESMB,33120
Energy,Gutierrez305 Inc,Trade Show,Mexico,,Irene McCoy,Customer,700000000,10000,COMM,30200
Agriculture,Woods306 Inc,Word of mouth,USA,MO,Laura Palmer,Customer,700000000,10000,SMB,30300
Agriculture,Fowler307 Inc,Web,Germany,,Bruce Kennedy,Partner,700000000,10000,MM,30400
Finance,Hughes308 Inc,Employee Referral,Canada,CA,Laura Garza,Customer,700000000,10000,COMM,30910
Apparel,Harper309 Inc,Employee Referral,Japan,,Dennis Howard,Customer,700000000,10000,COMM,33120
Apparel,Sims310 Inc,Employee Referral,Japan,,Nicolas Weaver,Partner,700000000,10000,ESMB,30200
Technology,Wright311 Inc,Public Relations,India,,Eric Gutierrez,Partner,700000000,10000,COMM,30300
Transportation,Wade312 Inc,Trade Show,Japan,,Catherine Brown,Partner,700000000,10000,GB,30400
Banking,Edwards508 Inc,Trade Show,USA,ND,John Williams,Customer,700000000,10000,ESMB,30910
Electronics,Holland509 Inc,Employee Referral,United Kingdom,,Catherine Brown,Customer,700000000,10000,MM,33120
Technology,Medina510 Inc,Advertisement,China,,Johnny Green,Customer,700000000,10000,SMB,30200
Manufacturing,Patton511 Inc,Partner,Normway,,Nicolas Weaver,Partner,700000000,10000,SMB,30300
Transportation,Berry512 Inc,Trade Show,United Kingdom,,Bruce Kennedy,Customer,700000000,10000,ESMB,30400
Engineering,Conner513 Inc,Web,Canada,IA,Catherine Brown,Partner,700000000,10000,SMB,30910
Engineering,Tran514 Inc,Employee Referral,Japan,,Irene Kelley,Partner,700000000,10000,ENT,33120
Agriculture,Wade515 Inc,Web,China,,Catherine Brown,Customer,700000000,10000,ENT,30200
Energy,Morales516 Inc,Trade Show,China,,Irene McCoy,Partner,700000000,10000,GB,30300
Energy,Fox517 Inc,Word of mouth,USA,TN,Eric Gutierrez,Customer,700000000,10000,GB,30400
Banking,Guzman518 Inc,Partner,USA,CA,Irene Kelley,Partner,700000000,10000,SMB,30910
Manufacturing,Bennett519 Inc,Word of mouth,Russian,,Chris Riley,Customer,700000000,10000,MM,33120
Transportation,Ortiz520 Inc,Seminar - Internal,USA,ID,Laura Garza,Customer,700000000,10000,GB,30200
Transportation,Knight521 Inc,Seminar - Internal,USA,IL,Doroth Gardner,Customer,700000000,10000,ESMB,30300
Engineering,Collins522 Inc,Employee Referral,Japan,,Chris Riley,Customer,700000000,10000,ESMB,30400
Utilities,Ramirez523 Inc,Partner,Brazil,,Johnny Green,Customer,700000000,10000,GB,18110
Media,Lopez524 Inc,Advertisement,USA,WA,Irene Kelley,Partner,700000000,10000,MM,58130
Education,Evans525 Inc,Partner,China,,Harold Campbell,Partner,700000000,10000,ESMB,58190
Electronics,Porter526 Inc,Web,Canada,ID,John Williams,Customer,700000000,10000,SMB,59111
Insurance,Snyder527 Inc,Word of mouth,United Kingdom,,Harold Campbell,Customer,700000000,10000,MM,59112
Energy,Pittman528 Inc,Partner,Switzerland,,Julie Chavez,Customer,700000000,10000,GB,59113
Utilities,Flowers529 Inc,Word of mouth,France,,Evelyn Williamson,Customer,700000000,10000,ESMB,59120
Biotechnology,Williamson530 Inc,Employee Referral,Taiwan,,Doroth Gardner,Customer,700000000,10000,COMM,59131
Media,McKenzie531 Inc,Employee Referral,USA,CT,Eric Gutierrez,Partner,700000000,10000,ENT,59132
Insurance,Cross532 Inc,Employee Referral,Hong Kong,,Eric Sanchez,Customer,700000000,10000,ENT,59133
Technology,Stone533 Inc,Web,USA,OR,Doroth Gardner,Customer,700000000,10000,MM,18110
Transportation,Harmon693 Inc,Word of mouth,USA,NC,Irene McCoy,Partner,700000000,10000,ENT,58130
Communications,Carroll694 Inc,Web,USA,ID,Bruce Kennedy,Customer,700000000,10000,COMM,58190
Engineering,McCoy695 Inc,Public Relations,Italy,,Irene McCoy,Partner,700000000,10000,GB,59111
Biotechnology,Lawrence696 Inc,Seminar - Internal,Belgium,,Laura Palmer,Customer,500000,900,SMB,59112
Healthcare,Hoffman697 Inc,Word of mouth,USA,PA,Kelly Frazier,Customer,500000,900,MM,59113
Apparel,Morton698 Inc,Web,Canada,CT,John Williams,Customer,500000,900,GB,59120
Insurance,Warner699 Inc,Employee Referral,Russian,,Laura Garza,Customer,500000,900,ESMB,59131
Consulting,Shaw700 Inc,Partner,Germany,,Johnny Green,Customer,500000,900,SMB,59132
Technology,Crawford701 Inc,Partner,Spain,,Doroth Gardner,Customer,500000,900,SMB,59133
Banking,Black702 Inc,Word of mouth,Canada,AZ,Julie Chavez,Customer,500000,900,MM,18110
Agriculture,Page703 Inc,Employee Referral,Japan,,Harold Campbell,Partner,500000,900,GB,58130
Banking,Alexander704 Inc,Public Relations,Taiwan,,Harold Campbell,Customer,500000,900,GB,58190
Apparel,Graham705 Inc,Advertisement,USA,AR,Irene McCoy,Customer,500000,900,MM,59111
Technology,West706 Inc,Word of mouth,USA,NC,John Williams,Customer,500000,900,ESMB,59112
Utilities,Garza707 Inc,Trade Show,USA,SD,Bruce Kennedy,Customer,500000,900,ESMB,59113
Communications,Scott708 Inc,Trade Show,USA,ND,Irene Kelley,Customer,500000,900,SMB,59120
Media,Sutton709 Inc,Web,Thailand,,Kelly Frazier,Partner,500000,900,MM,59131
Utilities,Fleming710 Inc,Word of mouth,Taiwan,,Irene Kelley,Customer,500000,900,MM,59132
Transportation,Delgado711 Inc,Web,USA,ND,John Williams,Customer,500000,900,ENT,59133
Insurance,Grant712 Inc,Employee Referral,Japan,,Chris Riley,Customer,500000,900,MM,18110
Banking,Hernandez713 Inc,Advertisement,India,,Johnny Green,Customer,500000,900,MM,58130
Energy,Carson714 Inc,Word of mouth,United Kingdom,,Nicolas Weaver,Customer,500000,900,ESMB,58190
Insurance,Bradley715 Inc,Public Relations,USA,ME,Dennis Howard,Customer,500000,900,ESMB,59111
Education,Fowler716 Inc,Web,Hong Kong,,John Williams,Customer,500000,900,GB,59112
