OpportunityName, CloseDate, Amount, CreatedDate, StageName, ForecastCategory, Probability, ExpectedRevenue
Opportunity for Murphy1963,2015-11-20,1241390,2015-07-01,Negotiation/Review,Forecast,90,111725100
Opportunity for Bowen1968,2015-07-15,125340,2015-07-01,Qualification,Pipeline,10,1253400
Opportunity for Bowen1968,2015-07-15,62670,2015-06-25,Qualification,Pipeline,10,626700
Opportunity for Nguyen1971,2015-10-16,2049800,2015-07-01,Proposal/Price Quote,BestCase,75,153735000
Opportunity for Malone1973,2015-08-01,108630,2015-07-01,Value Proposition,Pipeline,50,5431500
Opportunity for Santiago1975,2015-09-26,122200,2015-05-20,Prospecting,Pipeline,10,1222000
Opportunity for Tucker470,2015-08-11,2254450,2015-07-01,Negotiation/Review,Forecast,90,202900500
Opportunity for Tucker470,2015-12-03,2254450,2015-06-19,Negotiation/Review,Forecast,90,202900500
Opportunity for Tucker470,2015-12-03,1127225,2015-06-06,Negotiation/Review,Forecast,90,101450250
Opportunity for Stokes477,2015-06-24,328949,2015-06-24,Closed Won,Closed,100,32894900
Opportunity for Henry479,2015-06-24,3168250,2015-06-24,Closed Won,Closed,100,316825000
Opportunity for Shaw480,2015-09-03,605000,2015-07-01,Perception Analysis,BestCase,70,42350000
Opportunity for Shaw480,2015-09-03,302500,2015-06-30,Perception Analysis,BestCase,70,21175000
Opportunity for Silva482,2015-05-26,115290,2015-05-26,Closed Won,Closed,100,11529000
Opportunity for Sanchez828,2015-08-03,397710,2015-07-01,Negotiation/Review,Forecast,90,35793900
Opportunity for Nash833,2015-06-07,51480,2015-06-07,Closed Won,Closed,100,5148000
Opportunity for Hughes845,2015-08-06,1405500,2015-07-01,Needs Analysis,Pipeline,20,28110000
Opportunity for Hughes845,2015-08-06,2108250,2015-06-19,Needs Analysis,Pipeline,20,42165000
Opportunity for Carpenter1221,2015-07-22,2887700,2015-07-01,Proposal/Price Quote,BestCase,75,216577500
Opportunity for Carpenter1221,2015-07-22,1443850,2015-06-20,Proposal/Price Quote,BestCase,75,108288750
Opportunity for Spencer1223,2015-10-14,32480,2015-07-01,Perception Analysis,BestCase,70,2273600
Opportunity for Romero1224,2015-11-07,4561,2015-07-01,Perception Analysis,BestCase,70,319270
Opportunity for Young1227,2015-07-04,1207960,2015-07-04,Closed Won,Closed,100,120796000
Opportunity for Paul1228,2015-06-11,368530,2015-06-11,Closed Won,Closed,100,36853000
Opportunity for Brown1230,2015-11-01,2454990,2015-07-01,Qualification,Pipeline,10,24549900
Opportunity for Bass1237,2016-01-15,2855840,2015-07-01,Qualification,Pipeline,10,28558400
Opportunity for Barker1602,2015-10-11,951000,2015-07-01,Needs Analysis,Pipeline,20,19020000
Opportunity for McLaughlin1979,2015-07-06,98850,2015-07-06,Closed Won,Closed,100,9885000
Opportunity for Park1980,2015-10-15,532950,2015-07-01,Value Proposition,Pipeline,50,26647500
Opportunity for Paul1992,2015-07-07,650350,2015-07-07,Closed Lost,Omitted,0,0
Opportunity for Burton1994,2015-12-21,987930,2015-07-01,Needs Analysis,Pipeline,20,19758600
Opportunity for Santiago1997,2015-06-26,1394000,2015-06-26,Closed Won,Closed,100,139400000
Opportunity for Spencer490,2015-05-30,281412,2015-05-30,Closed Lost,Omitted,0,0
Opportunity for Lyons494,2016-01-30,2371900,2015-07-01,Qualification,Pipeline,10,23719000
Opportunity for Pope508,2015-06-23,499523,2015-06-23,Closed Lost,Omitted,0,0
Opportunity for Fernandez851,2015-05-12,352350,2015-05-12,Closed Won,Closed,100,35235000
Opportunity for Gordon852,2015-10-18,762410,2015-07-01,Qualification,Pipeline,10,7624100
Opportunity for Hall1246,2015-07-09,937550,2015-07-01,Value Proposition,Pipeline,50,46877500
Opportunity for Cole1249,2015-07-09,50890,2015-07-01,Perception Analysis,BestCase,70,3562300
Opportunity for Cole1249,2015-07-09,25445,2015-06-26,Perception Analysis,BestCase,70,1781150
Opportunity for Cook1618,2015-05-28,835870,2015-05-28,Closed Lost,Omitted,0,0
Opportunity for Stanley1623,2015-07-02,15637,2015-07-02,Closed Won,Closed,100,1563700
Opportunity for Elliott511,2015-11-15,679555,2015-07-01,Needs Analysis,Pipeline,20,13591100
Opportunity for Collier517,2015-09-12,211050,2015-07-01,Qualification,Pipeline,10,2110500
Opportunity for Hansen520,2015-08-28,104940,2015-07-01,Value Proposition,Pipeline,50,5247000
Opportunity for Hansen520,2015-12-10,104940,2015-06-23,Value Proposition,Pipeline,50,5247000
Opportunity for Hansen520,2015-12-10,157410,2015-06-20,Value Proposition,Pipeline,50,7870500
Opportunity for Duncan885,2015-09-04,413101,2015-07-01,Qualification,Pipeline,10,4131010
Opportunity for Duncan885,2015-09-04,619652,2015-06-19,Qualification,Pipeline,10,6196520
Opportunity for Perkins1263,2015-10-18,1314185,2015-07-01,Negotiation/Review,Forecast,90,118276650
Opportunity for Patton1278,2015-06-17,2477275,2015-06-17,Closed Won,Closed,100,247727500
Opportunity for Chandler1281,2015-10-13,2336600,2015-07-01,Perception Analysis,BestCase,70,163562000
Opportunity for Jacobs1642,2015-06-27,2560600,2015-06-27,Closed Lost,Omitted,0,0
Opportunity for McKenzie1652,2015-07-03,2386625,2015-07-03,Closed Won,Closed,100,238662500
Opportunity for Newton532,2015-07-15,45265,2015-07-01,Negotiation/Review,Forecast,90,4073850
Opportunity for Newton532,2015-07-15,45265,2015-06-30,Closed Lost,Omitted,0,0
Opportunity for Wilkerson900,2016-01-07,3537660,2015-06-04,Prospecting,Pipeline,10,35376600
Opportunity for Doyle904,2015-05-27,94283,2015-05-27,Closed Won,Closed,100,9428300
Opportunity for Evans911,2015-07-13,185630,2015-07-01,Value Proposition,Pipeline,50,9281500
Opportunity for Evans911,2016-01-04,185630,2015-06-24,Value Proposition,Pipeline,50,9281500
Opportunity for Colon1295,2015-05-18,667200,2015-05-18,Closed Won,Closed,100,66720000
Opportunity for Flores1296,2015-05-10,2325850,2015-05-10,Closed Won,Closed,100,232585000
Opportunity for Baker1304,2016-01-14,1918900,2015-07-01,Qualification,Pipeline,10,19189000
Opportunity for Santos1305,2015-07-29,14640,2015-07-01,Proposal/Price Quote,BestCase,75,1098000
Opportunity for Santos1305,2015-07-29,7320,2015-06-21,Proposal/Price Quote,BestCase,75,549000
Opportunity for Henry1665,2015-05-29,49760,2015-05-29,Closed Won,Closed,100,4976000
Opportunity for Barton1670,2015-10-30,364760,2015-06-09,Prospecting,Pipeline,10,3647600
Opportunity for Ramsey1673,2015-08-10,3351780,2015-07-01,Needs Analysis,Pipeline,20,67035600
Opportunity for Ramsey1673,2015-12-18,3351780,2015-06-27,Needs Analysis,Pipeline,20,67035600
Opportunity for Ramsey1673,2015-12-18,1675890,2015-06-21,Needs Analysis,Pipeline,20,33517800
Opportunity for Taylor1674,2015-07-02,1542350,2015-07-02,Closed Won,Closed,100,154235000
Opportunity for Johnston1675,2015-05-31,804275,2015-05-31,Closed Won,Closed,100,80427500
Opportunity for Clayton1676,2015-12-07,41500,2015-07-01,Needs Analysis,Pipeline,20,830000
Opportunity for Stokes556,2015-05-25,40900,2015-05-25,Closed Won,Closed,100,4090000
Opportunity for Franklin560,2015-09-08,1420100,2015-04-08,Prospecting,Pipeline,10,14201000
Opportunity for Burton933,2015-06-17,388760,2015-06-17,Closed Lost,Omitted,0,0
Opportunity for Mack935,2015-05-22,76800,2015-05-22,Closed Won,Closed,100,7680000
Opportunity for Cruz1306,2015-07-16,578880,2015-07-01,Perception Analysis,BestCase,70,40521600
Opportunity for Cruz1306,2015-07-16,289440,2015-06-25,Perception Analysis,BestCase,70,20260800
Opportunity for Johnson1307,2015-05-18,2165900,2015-05-18,Closed Lost,Omitted,0,0
Opportunity for Steele1680,2015-07-01,2207200,2015-07-01,Closed Won,Closed,100,220720000
Opportunity for Barnett1692,2015-07-10,4708010,2015-07-01,Needs Analysis,Pipeline,20,94160200
Opportunity for Reese570,2015-07-17,2217555,2015-03-26,Prospecting,Pipeline,10,22175550
Opportunity for Reese570,2015-07-17,1108778,2015-03-13,Prospecting,Pipeline,10,11087780
Opportunity for Butler582,2015-11-11,224800,2015-05-09,Prospecting,Pipeline,10,2248000
Opportunity for Dunn946,2015-06-25,2389600,2015-06-25,Closed Won,Closed,100,238960000
Opportunity for Davis947,2015-06-09,1574960,2015-06-09,Closed Won,Closed,100,157496000
Opportunity for Stokes949,2015-10-13,3915950,2015-07-01,Needs Analysis,Pipeline,20,78319000
Opportunity for Bryant952,2015-07-17,1379300,2015-07-01,Value Proposition,Pipeline,50,68965000
Opportunity for Salazar953,2015-08-22,100267,2015-07-01,Perception Analysis,BestCase,70,7018690
Opportunity for Alexander954,2015-11-02,895135,2015-07-01,Value Proposition,Pipeline,50,44756750
Opportunity for Alexander954,2015-05-24,895135,2015-04-11,Value Proposition,Pipeline,50,44756750
Opportunity for Dennis956,2015-09-23,2285700,2015-07-01,Qualification,Pipeline,10,22857000
Opportunity for Estrada957,2015-10-05,488860,2015-07-01,Negotiation/Review,Forecast,90,43997400
Opportunity for Estrada957,2015-06-15,488860,2015-03-04,Negotiation/Review,Forecast,90,43997400
Opportunity for Rodriquez958,2016-01-24,413100,2015-07-01,Qualification,Pipeline,10,4131000
Opportunity for Jimenez961,2015-10-02,449700,2015-07-01,Needs Analysis,Pipeline,20,8994000
Opportunity for Moore962,2015-10-11,39960,2015-07-01,Negotiation/Review,Forecast,90,3596400
Opportunity for Wade966,2015-11-29,552000,2015-07-01,Needs Analysis,Pipeline,20,11040000
Opportunity for Malone1334,2015-12-21,3847700,2015-07-01,Needs Analysis,Pipeline,20,76954000
Opportunity for Sharp1336,2015-06-09,257198,2015-06-09,Closed Won,Closed,100,25719800
Opportunity for Shaw1337,2015-07-02,620200,2015-07-02,Closed Lost,Omitted,0,0
Opportunity for Chavez1340,2015-05-27,289140,2015-05-27,Closed Won,Closed,100,28914000
Opportunity for Sanders1345,2015-06-04,773640,2015-06-04,Closed Won,Closed,100,77364000
Opportunity for Johnson1707,2015-09-24,3612800,2015-07-01,Needs Analysis,Pipeline,20,72256000
Opportunity for Parker1715,2015-08-15,886570,2015-07-01,Negotiation/Review,Forecast,90,79791300
Opportunity for Parker1715,2015-08-15,1329855,2015-06-20,Negotiation/Review,Forecast,90,119686950
Opportunity for Erickson1716,2015-07-28,1771150,2015-07-01,Value Proposition,Pipeline,50,88557500
Opportunity for Lewis1718,2015-06-21,1415700,2015-06-21,Closed Won,Closed,100,141570000
Opportunity for Duncan1725,2015-08-27,847450,2015-03-06,Prospecting,Pipeline,10,8474500
Opportunity for Duncan1725,2015-08-27,423725,2015-03-02,Prospecting,Pipeline,10,4237250
Opportunity for Leonard584,2015-11-27,318600,2015-07-01,Qualification,Pipeline,10,3186000
Opportunity for Morton591,2015-08-01,1741100,2015-07-01,Proposal/Price Quote,BestCase,75,130582500
Opportunity for Morton591,2015-08-01,870550,2015-06-20,Proposal/Price Quote,BestCase,75,65291250
Opportunity for Reynolds593,2015-08-03,3503360,2015-07-01,Qualification,Pipeline,10,35033600
Opportunity for Reynolds593,2015-08-03,1751680,2015-06-19,Qualification,Pipeline,10,17516800
Opportunity for Armstrong600,2016-01-03,2102240,2015-05-13,Prospecting,Pipeline,10,21022400
Opportunity for Jennings981,2015-12-28,141300,2015-07-01,Qualification,Pipeline,10,1413000
Opportunity for Lloyd988,2015-07-19,2243150,2015-07-01,Proposal/Price Quote,BestCase,75,168236250
Opportunity for Porter991,2015-08-26,2158750,2015-07-01,Perception Analysis,BestCase,70,151112500
Opportunity for Porter991,2015-08-26,2158750,2015-06-25,Closed Lost,Omitted,0,0
Opportunity for Gomez1357,2015-05-27,3618750,2015-05-27,Closed Lost,Omitted,0,0
Opportunity for Harrison1359,2015-08-28,475597,2015-07-01,Qualification,Pipeline,10,4755970
Opportunity for Harrison1359,2015-08-28,713396,2015-06-27,Qualification,Pipeline,10,7133960
Opportunity for Austin1360,2015-08-06,347730,2015-07-01,Value Proposition,Pipeline,50,17386500
Opportunity for Austin1360,2015-12-09,347730,2015-06-27,Value Proposition,Pipeline,50,17386500
Opportunity for Austin1360,2015-12-09,521595,2015-06-18,Value Proposition,Pipeline,50,26079750
Opportunity for Ferguson1365,2015-08-28,3541100,2015-07-01,Needs Analysis,Pipeline,20,70822000
Opportunity for Ferguson1365,2015-08-28,3541100,2015-06-18,Closed Lost,Omitted,0,0
Opportunity for Wilkins1370,2015-11-24,2649500,2015-07-01,Needs Analysis,Pipeline,20,52990000
Opportunity for Buchanan1727,2015-06-10,112000,2015-06-10,Closed Lost,Omitted,0,0
Opportunity for White1730,2015-08-12,1994920,2015-07-01,Negotiation/Review,Forecast,90,179542800
Opportunity for Phillips1742,2015-08-16,1580935,2015-07-01,Qualification,Pipeline,10,15809350
Opportunity for Phillips1742,2015-08-16,790468,2015-06-19,Qualification,Pipeline,10,7904680
Opportunity for Rhodes1746,2015-07-30,918500,2015-07-01,Perception Analysis,BestCase,70,64295000
Opportunity for Keller612,2015-06-08,765600,2015-06-08,Closed Lost,Omitted,0,0
Opportunity for Osborne613,2015-06-01,834280,2015-06-01,Closed Won,Closed,100,83428000
Opportunity for Weber619,2015-05-12,3474950,2015-05-12,Closed Won,Closed,100,347495000
Opportunity for Daniels627,2015-12-12,1422600,2015-07-01,Qualification,Pipeline,10,14226000
Opportunity for Chavez1002,2015-09-05,355680,2015-07-01,Qualification,Pipeline,10,3556800
Opportunity for Chavez1002,2015-09-05,177840,2015-06-18,Qualification,Pipeline,10,1778400
Opportunity for Holmes1012,2015-12-23,1348890,2015-07-01,Qualification,Pipeline,10,13488900
Opportunity for Richardson1013,2015-07-18,499733,2015-07-01,Value Proposition,Pipeline,50,24986650
Opportunity for Richardson1013,2015-07-18,749600,2015-06-28,Value Proposition,Pipeline,50,37480000
Opportunity for Collier1376,2015-08-11,89230,2015-05-18,Prospecting,Pipeline,10,892300
Opportunity for Ray1381,2015-07-08,908360,2015-07-08,Closed Won,Closed,100,90836000
Opportunity for Simpson1385,2015-09-09,392207,2015-07-01,Qualification,Pipeline,10,3922070
Opportunity for Boone1390,2015-06-14,69240,2015-06-14,Closed Won,Closed,100,6924000
Opportunity for Sanders1392,2015-05-23,196890,2015-05-23,Closed Won,Closed,100,19689000
Opportunity for Buchanan1756,2015-05-16,76532,2015-05-16,Closed Lost,Omitted,0,0
Opportunity for McGee1757,2015-07-12,360800,2015-07-01,Proposal/Price Quote,BestCase,75,27060000
Opportunity for McGee1757,2015-11-07,360800,2015-06-28,Proposal/Price Quote,BestCase,75,27060000
Opportunity for McGee1757,2015-11-07,180400,2015-06-25,Proposal/Price Quote,BestCase,75,13530000
Opportunity for Sanders1761,2015-07-24,1049880,2015-07-01,Qualification,Pipeline,10,10498800
Opportunity for Zimmerman1763,2015-09-04,4747520,2015-07-01,Qualification,Pipeline,10,47475200
Opportunity for Barton1764,2015-11-12,3209120,2015-07-01,Value Proposition,Pipeline,50,160456000
Opportunity for Ramirez1767,2015-06-09,3440,2015-06-09,Closed Won,Closed,100,344000
Opportunity for Figueroa642,2015-07-25,701400,2015-07-01,Needs Analysis,Pipeline,20,14028000
Opportunity for Figueroa642,2015-12-30,701400,2015-06-20,Needs Analysis,Pipeline,20,14028000
Opportunity for Frazier644,2015-08-17,1528750,2015-07-01,Qualification,Pipeline,10,15287500
Opportunity for Frazier644,2015-08-17,2293125,2015-06-26,Qualification,Pipeline,10,22931250
Opportunity for Bowen646,2015-07-27,1158700,2015-07-01,Needs Analysis,Pipeline,20,23174000
Opportunity for Bowen646,2015-07-27,1158700,2015-06-27,Closed Lost,Omitted,0,0
Opportunity for Ruiz650,2015-06-03,209640,2015-06-03,Closed Won,Closed,100,20964000
Opportunity for Bridges657,2015-07-10,1314400,2015-07-01,Qualification,Pipeline,10,13144000
Opportunity for Bridges657,2015-07-10,657200,2015-06-24,Qualification,Pipeline,10,6572000
Opportunity for Willis1022,2015-06-12,296805,2015-06-12,Closed Won,Closed,100,29680500
Opportunity for Dixon1405,2015-09-23,644000,2015-07-01,Qualification,Pipeline,10,6440000
Opportunity for Dixon1405,2015-06-01,644000,2015-03-26,Qualification,Pipeline,10,6440000
Opportunity for Cobb1406,2015-09-20,802000,2015-07-01,Qualification,Pipeline,10,8020000
Opportunity for Morrison1784,2015-06-06,343000,2015-06-06,Closed Won,Closed,100,34300000
Opportunity for Paul1791,2015-05-11,424600,2015-05-11,Closed Won,Closed,100,42460000
Opportunity for Andrews1792,2015-10-23,1488450,2015-07-01,Needs Analysis,Pipeline,20,29769000
Opportunity for Guzman1793,2015-10-26,136800,2015-07-01,Qualification,Pipeline,10,1368000
Opportunity for Watson1794,2015-10-12,991350,2015-07-01,Qualification,Pipeline,10,9913500
Opportunity for Cunningham662,2015-12-02,25450,2015-07-01,Proposal/Price Quote,BestCase,75,1908750
Opportunity for Cunningham662,2015-06-22,25450,2015-04-30,Proposal/Price Quote,BestCase,75,1908750
Opportunity for Stevenson670,2016-01-15,2728890,2015-07-01,Value Proposition,Pipeline,50,136444500
Opportunity for Ramirez671,2015-05-29,430330,2015-05-29,Closed Lost,Omitted,0,0
Opportunity for Colon1047,2015-07-15,680,2015-07-01,Value Proposition,Pipeline,50,34000
Opportunity for Colon1047,2015-07-15,1020,2015-06-18,Value Proposition,Pipeline,50,51000
Opportunity for Vega1066,2015-07-26,201572,2015-07-01,Perception Analysis,BestCase,70,14110040
Opportunity for Vega1066,2015-07-26,201572,2015-06-18,Closed Lost,Omitted,0,0
Opportunity for Vega1066,2015-07-26,302358,2015-06-06,Perception Analysis,BestCase,70,21165060
Opportunity for Flowers1427,2016-01-10,1979000,2015-07-01,Needs Analysis,Pipeline,20,39580000
Opportunity for Keller1431,2015-07-30,2894390,2015-07-01,Needs Analysis,Pipeline,20,57887800
Opportunity for Keller1431,2015-07-30,2894390,2015-06-24,Closed Lost,Omitted,0,0
Opportunity for Keller1431,2015-07-30,4341585,2015-06-13,Needs Analysis,Pipeline,20,86831700
Opportunity for Allison1432,2015-06-16,1471800,2015-06-16,Closed Lost,Omitted,0,0
Opportunity for Chandler1439,2015-08-13,1648300,2015-07-01,Needs Analysis,Pipeline,20,32966000
Opportunity for Chandler1439,2015-08-13,824150,2015-06-18,Needs Analysis,Pipeline,20,16483000
Opportunity for Marsh1806,2015-05-25,58840,2015-05-25,Closed Won,Closed,100,5884000
Opportunity for Fleming1809,2015-05-29,3077200,2015-05-29,Closed Won,Closed,100,307720000
Opportunity for Chandler1816,2015-10-03,470865,2015-07-01,Perception Analysis,BestCase,70,32960550
Opportunity for Moss1820,2015-11-05,1489210,2015-07-01,Perception Analysis,BestCase,70,104244700
